,name,price,product_url,image,FreeShip,Rating,Badge_Under_Price,Be_Paid_By_Installments,Free_Gifts
10,Điện Thoại iPhone 12 Pro Max 128GB - Hàng Chính Hãng,28.690.000 ₫,https://tiki.vn/dien-thoai-iphone-12-pro-max-128gb-hang-chinh-hang-p70771651.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.70771651,https://salt.tikicdn.com/cache/200x200/ts/product/b0/39/57/a5c7b46a18cd2e077fb2d805ed600e67.jpg.webp,https://salt.tikicdn.com/cache/200x200/ts/product/b0/39/57/a5c7b46a18cd2e077fb2d805ed600e67.jpg,,,True,
11,Điện Thoại Samsung Galaxy A02s (4GB/64GB) - Hàng Chính Hãng,3.190.000 ₫,https://tiki.vn/dien-thoai-samsung-galaxy-a02s-4gb-64gb-hang-chinh-hang-p75323380.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.75323380,https://salt.tikicdn.com/cache/200x200/ts/product/2c/28/4a/048c42556545a326d64fc144970291b7.jpg.webp,https://salt.tikicdn.com/ts/upload/dc/0d/49/3251737db2de83b74eba8a9ad6d03338.png,100%,,,
12,Điện Thoại iPhone 11 64GB  - Hàng  Chính Hãng,14.190.000 ₫,https://tiki.vn/dien-thoai-iphone-11-64gb-hang-chinh-hang-p32033717.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.32033717,https://salt.tikicdn.com/cache/200x200/ts/product/1a/a7/f9/7fb9014e3e3358e24a90a0377172dd74.jpg.webp,https://salt.tikicdn.com/ts/upload/dc/0d/49/3251737db2de83b74eba8a9ad6d03338.png,96%,,True,
13,Điện Thoại Samsung Galaxy S20 FE - Hàng Chính Hãng,12.990.000 ₫,https://tiki.vn/dien-thoai-samsung-galaxy-s20-fe-hang-chinh-hang-p68693081.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.68693081,https://salt.tikicdn.com/cache/200x200/ts/product/26/23/3b/cb131a8e6cb023c4f40a0228f3987e08.png.webp,https://salt.tikicdn.com/cache/200x200/ts/product/26/23/3b/cb131a8e6cb023c4f40a0228f3987e08.png,,,,
14,Điện Thoại OnePlus  Nord CE 5G (12GB/256G) - Hàng Chính Hãng,8.290.000 ₫,https://tiki.vn/dien-thoai-oneplus-nord-ce-5g-12gb-256g-hang-chinh-hang-p109516584.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.109516584,https://salt.tikicdn.com/cache/200x200/media/catalog/producttmp/7f/9d/33/1c59622f95960307a548e119631b6a57.jpg.webp,https://salt.tikicdn.com/ts/upload/dc/0d/49/3251737db2de83b74eba8a9ad6d03338.png,96%,True,True,
15,Điện Thoại iPhone 12 Pro 128GB - Hàng Chính Hãng,26.490.000 ₫,https://tiki.vn/dien-thoai-iphone-12-pro-128gb-hang-chinh-hang-p71198345.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.71198345,https://salt.tikicdn.com/cache/200x200/ts/product/14/f0/60/eb03fe0d4f10f4d445b7904cff260794.jpg.webp,https://salt.tikicdn.com/cache/200x200/ts/product/14/f0/60/eb03fe0d4f10f4d445b7904cff260794.jpg,90%,,True,
16,Tecno Pova 2 6GB l 128GB - Điện Thoại Thông Minh Chiến Game Cực Đỉnh - Hàng Chính Hãng,4.390.000 ₫,https://tiki.vn/tecno-pova-2-6gb-l-128gb-dien-thoai-thong-minh-chien-game-cuc-dinh-hang-chinh-hang-p103046198.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.103046198,https://salt.tikicdn.com/cache/200x200/ts/product/ca/5a/c0/8deb62c2059970fbbcdb6b8d74b656ba.png.webp,https://salt.tikicdn.com/ts/upload/dc/0d/49/3251737db2de83b74eba8a9ad6d03338.png,96%,True,True,
17,Điện Thoại Oppo Reno 5 (8GB/128G) - Hàng Chính Hãng,7.250.000 ₫,https://tiki.vn/dien-thoai-oppo-reno-5-8gb-128g-hang-chinh-hang-p74489817.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.74489817,https://salt.tikicdn.com/cache/200x200/ts/product/83/ca/55/7cf04cfb464a9385452ed6ef24e8e450.jpg.webp,https://salt.tikicdn.com/ts/upload/dc/0d/49/3251737db2de83b74eba8a9ad6d03338.png,96%,True,True,
18,Điện thoại Vsmart Joy 4 (6GB/64GB) - Hàng chính hãng,3.090.000 ₫,https://tiki.vn/dien-thoai-vsmart-joy-4-6gb-64gb-hang-chinh-hang-p102583219.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.102583219,https://salt.tikicdn.com/cache/200x200/ts/product/77/da/46/3ead96eb4fd1dfae64066f8e9f7914c9.jpg.webp,https://salt.tikicdn.com/cache/200x200/ts/product/77/da/46/3ead96eb4fd1dfae64066f8e9f7914c9.jpg,72%,,,
19,Máy đọc sách Kindle PaperWhite Gen 4 (10th) - Bản 8GB - Hàng chính hãng,2.950.000 ₫,https://tiki.vn/may-doc-sach-kindle-paperwhite-gen-4-10th-ban-8gb-2019-hang-chinh-hang-p6597807.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.6597807,https://salt.tikicdn.com/cache/200x200/ts/product/be/f2/ba/f7cacd4da64139b88acb667612d814ba.jpg.webp,https://salt.tikicdn.com/ts/upload/dc/0d/49/3251737db2de83b74eba8a9ad6d03338.png,90%,True,,
